ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β",514,2121,0.24,479,01/2024
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ",233,367,0.63,75,01/2024
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",338,190,1.78,27,01/2024
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A",229,8385,0.03,3082,01/2024
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","2,816",11034,0.26,4155,01/2024
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ",868,1381,0.63,517,01/2024
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ",402,209,1.92,53,01/2024
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",105,9,11.70,3,01/2024
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση A",1,48,0.02,24,01/2024
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Β",10,46,0.22,23,01/2024
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Γ",6,10,0.61,5,01/2024
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A",125,4323,0.03,1310,01/2024
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","1,602",6142,0.26,1971,01/2024
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ",582,917,0.63,306,01/2024
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ",283,172,1.64,39,01/2024
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",73,10,7.28,3,01/2024
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",52,2021,0.03,524,01/2024
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β",776,2855,0.27,804,01/2024
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ",337,521,0.65,134,01/2024
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ",403,183,2.20,44,01/2024
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","1,086",115,9.45,12,01/2024
10442,ΚΟΛΩΝΟΣ,"Κλάση A",2,45,0.03,15,01/2024
10442,ΚΟΛΩΝΟΣ,"Κλάση Β",48,152,0.32,43,01/2024
10442,ΚΟΛΩΝΟΣ,"Κλάση Γ",10,15,0.69,5,01/2024
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A","1,394",42904,0.03,1385,01/2024
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","22,481",85839,0.26,2769,01/2024
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","6,335",10261,0.62,331,01/2024
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","1,585",868,1.83,28,01/2024
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","4,121",62,66.47,2,01/2024
10443,ΚΟΛΩΝΟΣ,"Κλάση A",444,14360,0.03,464,01/2024
10443,ΚΟΛΩΝΟΣ,"Κλάση Β","6,513",25060,0.26,809,01/2024
10443,ΚΟΛΩΝΟΣ,"Κλάση Γ","2,186",3515,0.62,114,01/2024
10443,ΚΟΛΩΝΟΣ,"Κλάση Δ",153,124,1.24,4,01/2024
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",839,26629,0.03,860,01/2024
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","10,830",41106,0.26,1326,01/2024
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","3,216",5332,0.60,172,01/2024
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",404,248,1.63,8,01/2024
10443,ΣΕΠΟΛΙΑ,"Κλάση A","2,730",91552,0.03,2957,01/2024
10443,ΣΕΠΟΛΙΑ,"Κλάση Β","39,552",151706,0.26,4895,01/2024
10443,ΣΕΠΟΛΙΑ,"Κλάση Γ","11,495",18528,0.62,598,01/2024
